Country,Slope,Intercept,R2,Mean_GDP
Cameroon,1569.8337662337663,-3127565.753246753,0.9489163159163163,35649.28571428572
Canada,41299.66883116883,-81481036.64718615,0.7172243228395514,1737796.0476190476
Cape Verde,49.34415584415584,-97404.14069264069,0.7073743852704106,2024.3333333333333
Central African Republic,52.4116883116883,-103446.45670995669,0.5954663412899399,2163.095238095238
Chad,363.27142857142854,-716911.9761904761,0.5458026932551721,15079.952380952382
Chile,9331.001298701298,-18549856.616883114,0.861537069678898,252111.0
China,907320.1272727273,-1817141035.5974026,0.9894990105639591,11109020.857142856
Colombia,9317.009090909092,-18467274.50865801,0.5630698789832116,306498.8095238095
Comoros,35.03506493506493,-69517.03679653678,0.8958232329669654,1078.6190476190477
Costa Rica,3522.4571428571426,-7043204.0,0.9371917749606934,54547.142857142855
Croatia,1523.8285714285714,-3006670.095238095,0.4895615262314077,63844.47619047619
Cyprus,595.6,-1173730.238095238,0.49928510434599266,26403.761904761905
Czech Republic,8498.283116883116,-16885275.194805194,0.7694102861125122,238765.2857142857
DR Congo,3029.5376623376624,-6064541.2467532465,0.9635622340071884,39977.142857142855
Denmark,6351.264935064934,-12448467.463203462,0.6979083543085587,349331.38095238095
Djibouti,170.95324675324676,-341986.03030303033,0.9817038597145155,2484.7619047619046
Dominica,13.832467532467533,-27339.75541125541,0.8369161984581701,532.6666666666666
Dominican Republic,4436.328571428571,-8864079.642857142,0.9441526619963968,75122.42857142857
Ecuador,4024.8623376623377,-8019937.324675325,0.9051743488388933,90160.28571428571
Egypt,14760.274025974026,-29454093.59090909,0.7753931599224063,287858.5714285714
El Salvador,1009.6974025974025,-2010465.6948051946,0.9469321566875997,24074.571428571428
Equatorial Guinea,-166.63116883116885,350275.7575757576,0.056467092484736324,14513.952380952382
Eritrea,52.371428571428574,-103742.14285714287,0.442851796176239,1786.2857142857142
Estonia,1317.6532467532468,-2626911.7683982686,0.8922616984622594,28159.52380952381
Eswatini,83.23116883116884,-163395.70995671,0.6024867965058059,4315.0952380952385
Ethiopia,6735.846753246753,-13505003.922077922,0.9262843055300998,67727.28571428571
Federated States of Micronesia,11.545454545454545,-22919.94805194805,0.9374753864388414,344.14285714285717
Fiji,128.15714285714284,-253676.2619047619,0.7564997602975776,4560.380952380952
Finland,2981.450649350649,-5743210.582251081,0.5021248329870163,264412.4761904762
France,26686.844155844155,-51034943.783549786,0.41509007835072614,2739047.1904761903
Gabon,431.8558441558441,-854047.3354978354,0.6526902778273965,16142.190476190477
Gambia,66.5025974025974,-132345.54329004328,0.7652719797792252,1657.1904761904761
Georgia,1086.8402597402596,-2172270.1233766233,0.7710700718851402,17713.0
Germany,68584.01168831169,-134363451.74242422,0.7769546641407263,3833331.8095238097
Ghana,2770.238961038961,-5523865.268398268,0.9381420755882325,58166.23809523809
Greece,-3919.468831168831,8145257.456709957,0.2811616675769045,247527.7619047619
Grenada,36.77402597402597,-73099.80519480517,0.9164809245820082,999.8571428571429
Guatemala,4300.024675324676,-8599277.292207792,0.9606675214688069,65272.42857142857
Guinea,1048.4272727272726,-2100747.0497835493,0.813770270137355,11833.904761904761
Guinea-Bissau,74.34155844155845,-148483.85930735932,0.9410219907671342,1314.3809523809523
Guyana,916.5389610389611,-1839749.720779221,0.630330116160466,7076.285714285715
